#mpa_v30_CHOCOPhlAn_201901
clade_name	clade_taxid	SIG026.A0101.metaphlan.profile	SIG025.A0101.metaphlan.profile	SIG024.A0101.metaphlan.profile	SIG021.A0101.metaphlan.profile	SIG018.A0101.metaphlan.profile	SIG010.A0101.metaphlan.profile	SIG005.A0101.metaphlan.profile	SIG004.A0101.metaphlan.profile	SIG002.A0101.metaphlan.profile	SIG001.A0101.metaphlan.profile	KRA011.C0201.metaphlan.profile	KRA011.C0101.metaphlan.profile	KRA010.C0201.metaphlan.profile	KRA010.C0101.metaphlan.profile	KRA008.C0201.metaphlan.profile	KRA008.C0101.metaphlan.profile	KRA007.C0201.metaphlan.profile	KRA007.C0101.metaphlan.profile	KRA006.C0201.metaphlan.profile	KRA006.C0101.metaphlan.profile	KRA005.C0201.metaphlan.profile	KRA005.C0101.metaphlan.profile	KRA004.C0201.metaphlan.profile	KRA004.C0101.metaphlan.profile	KRA003.C0201.metaphlan.profile	KRA003.C0101.metaphlan.profile	KRA002.C0201.metaphlan.profile	KRA002.C0101.metaphlan.profile	KRA001.C0202.metaphlan.profile	KRA001.C0102.metaphlan.profile	ARS017.A0101.metaphlan.profile	ARS015.A0101.metaphlan.profile	ARS013.A0101.metaphlan.profile	ARS012.A0101.metaphlan.profile	ARS011.A0101.metaphlan.profile	ARS010.A0101.metaphlan.profile	ARS006.A0101.metaphlan.profile	ARS005.A0101.metaphlan.profile	ARS004.A0101.metaphlan.profile	ARS001.A0101.metaphlan.profile	NMU089.A0101.metaphlan.profile	NMU067.A0101.metaphlan.profile	NMU065.A0101.metaphlan.profile	NMU059.A0101.metaphlan.profile	NMU047.A0101.metaphlan.profile	NMU021.A0101.metaphlan.profile	NMU020.A0101.metaphlan.profile	NMU014.A0101.metaphlan.profile	NMU009.A0101.metaphlan.profile	NMU001.A0101.metaphlan.profile
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae|g__Patulibacter	2|201174|1497346|588673|361606|361607	4.71677	8.57961	6.2552	0	0.27825	1.26742	0.77784	0.39659	2.09256	4.75887	37.3244	0	0.79745	5.41391	0	0	0.41677	0	0	0	0	1.92227	0.27296	4.44496	0	0	0	0	0	1.35642	17.47109	20.5738	13.07415	0	0	13.49026	20.57996	0	18.7407	0	6.5329	6.05592	7.68442	11.14916	4.18132	7.37766	3.92814	5.9732	5.64807	6.79903
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae|g__Patulibacter|s__Patulibacter_medicamentivorans	2|201174|1497346|588673|361606|361607|1097667	4.71677	8.57961	6.2552	0	0.27825	1.26742	0.77784	0.39659	2.09256	4.75887	37.3244	0	0.79745	5.41391	0	0	0.41677	0	0	0	0	1.92227	0.27296	4.44496	0	0	0	0	0	1.35642	17.47109	20.5738	13.07415	0	0	13.49026	20.57996	0	18.7407	0	6.5329	6.05592	7.68442	11.14916	4.18132	7.37766	3.92814	5.9732	5.64807	6.79903
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	12.97263	28.64705	24.70288	19.30629	10.61073	23.79107	20.02661	17.12799	11.58062	20.40506	12.14222	0	2.58895	17.50062	0.29955	0	8.45204	0	0	0	0	33.87375	0.39434	1.57201	26.89871	0	8.54951	0	8.27437	12.68083	39.04423	40.88956	32.88258	0	0	40.85162	37.62801	0	53.14239	0	17.26911	9.71768	13.74311	11.17442	20.75013	11.76283	15.51348	12.71366	19.80198	9.53344
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae	2|201174|1497346|588674|320796	12.97263	28.64705	24.70288	19.30629	10.61073	23.79107	20.02661	17.12799	11.58062	20.40506	12.14222	0	2.58895	17.50062	0.29955	0	8.45204	0	0	0	0	33.87375	0.39434	1.57201	26.89871	0	8.54951	0	8.27437	12.68083	39.04423	40.88956	32.88258	0	0	40.85162	37.62801	0	53.14239	0	17.26911	9.71768	13.74311	11.17442	20.75013	11.76283	15.51348	12.71366	19.80198	9.53344
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae|g__Thermoleophilum	2|201174|1497346|588674|320796|192992	12.97263	28.64705	24.70288	19.30629	10.61073	23.79107	20.02661	17.12799	11.58062	20.40506	12.14222	0	2.58895	17.50062	0.29955	0	8.45204	0	0	0	0	33.87375	0.39434	1.57201	26.89871	0	8.54951	0	8.27437	12.68083	39.04423	40.88956	32.88258	0	0	40.85162	37.62801	0	53.14239	0	17.26911	9.71768	13.74311	11.17442	20.75013	11.76283	15.51348	12.71366	19.80198	9.53344
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae|g__Thermoleophilum|s__Thermoleophilum_album	2|201174|1497346|588674|320796|192992|29539	12.97263	28.64705	24.70288	19.30629	10.61073	23.79107	20.02661	17.12799	11.58062	20.40506	12.14222	0	2.58895	17.50062	0.29955	0	8.45204	0	0	0	0	33.87375	0.39434	1.57201	26.89871	0	8.54951	0	8.27437	12.68083	39.04423	40.88956	32.88258	0	0	40.85162	37.62801	0	53.14239	0	17.26911	9.71768	13.74311	11.17442	20.75013	11.76283	15.51348	12.71366	19.80198	9.53344
k__Bacteria|p__Bacteroidetes	2|976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.84242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.84242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.84242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	2|976|117743|200644|49546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.84242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cloacibacterium	2|976|117743|200644|49546|501783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.84242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cloacibacterium|s__Cloacibacterium_normanense	2|976|117743|200644|49546|501783|237258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.84242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlamydiae	2|204428	0	0	0	0	0	0	0	0	0	0	0	0	7.29791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlamydiae|c__Chlamydiia	2|204428|204429	0	0	0	0	0	0	0	0	0	0	0	0	7.29791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	2|204428|204429|1963360	0	0	0	0	0	0	0	0	0	0	0	0	7.29791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales|f__Parachlamydiaceae	2|204428|204429|1963360|92713	0	0	0	0	0	0	0	0	0	0	0	0	7.29791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales|f__Parachlamydiaceae|g__Neochlamydia	2|204428|204429|1963360|92713|112987	0	0	0	0	0	0	0	0	0	0	0	0	7.29791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales|f__Parachlamydiaceae|g__Neochlamydia|s__Neochlamydia_sp_TUME1	2|204428|204429|1963360|92713|112987|1478174	0	0	0	0	0	0	0	0	0	0	0	0	7.29791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexi	2|200795	6.72726	3.26198	9.05393	4.28309	13.75469	4.68173	10.0596	9.64112	5.13774	0	0	0	0	7.91567	0.07577	0	1.10035	0	0	0	0	0	0	0	0	0	0	0	0.80624	6.11921	8.78055	7.09682	6.46885	0	0	8.27019	5.90062	0	6.26349	0	3.74618	9.81302	9.7097	4.44873	13.54901	8.9322	12.40381	2.63911	14.26559	2.98244
k__Bacteria|p__Chloroflexi|c__Caldilineae	2|200795|475962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07568	0	0	0	0	0.14887	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales	2|200795|475962|475963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07568	0	0	0	0	0.14887	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales|f__Caldilineaceae	2|200795|475962|475963|475964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07568	0	0	0	0	0.14887	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales|f__Caldilineaceae|g__Litorilinea	2|200795|475962|475963|475964|1215913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07568	0	0	0	0	0.14887	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales|f__Caldilineaceae|g__Litorilinea|s__Litorilinea_aerophila	2|200795|475962|475963|475964|1215913|1204385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07568	0	0	0	0	0.14887	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	6.72726	3.26198	9.05393	4.28309	13.75469	4.68173	10.0596	9.64112	3.10704	0	0	0	0	5.14526	0.07577	0	1.10035	0	0	0	0	0	0	0	0	0	0	0	0.80624	6.11921	4.19502	3.91854	3.86234	0	0	3.25533	1.40454	0	3.05911	0	3.74618	9.81302	4.95079	4.44873	13.54901	8.9322	12.40381	2.63911	14.26559	2.98244
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	6.72726	3.26198	9.05393	4.28309	13.75469	4.68173	10.0596	9.64112	3.10704	0	0	0	0	5.14526	0.07577	0	1.10035	0	0	0	0	0	0	0	0	0	0	0	0.80624	6.11921	4.19502	3.91854	3.86234	0	0	3.25533	1.40454	0	3.05911	0	3.74618	9.81302	4.95079	4.44873	13.54901	8.9322	12.40381	2.63911	14.26559	2.98244
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae	2|200795|32061|32064|1508635	6.72726	3.26198	9.05393	4.28309	13.75469	4.68173	10.0596	9.64112	3.10704	0	0	0	0	5.14526	0.07577	0	1.10035	0	0	0	0	0	0	0	0	0	0	0	0.80624	6.11921	4.19502	3.91854	3.86234	0	0	3.25533	1.40454	0	3.05911	0	3.74618	9.81302	4.95079	4.44873	13.54901	8.9322	12.40381	2.63911	14.26559	2.98244
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae|g__Kouleothrix	2|200795|32061|32064|1508635|186475	6.72726	3.26198	9.05393	4.28309	13.75469	4.68173	10.0596	9.64112	3.10704	0	0	0	0	5.14526	0.07577	0	1.10035	0	0	0	0	0	0	0	0	0	0	0	0.80624	6.11921	4.19502	3.91854	3.86234	0	0	3.25533	1.40454	0	3.05911	0	3.74618	9.81302	4.95079	4.44873	13.54901	8.9322	12.40381	2.63911	14.26559	2.98244
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae|g__Kouleothrix|s__Kouleothrix_aurantiaca	2|200795|32061|32064|1508635|186475|186479	6.72726	3.26198	9.05393	4.28309	13.75469	4.68173	10.0596	9.64112	3.10704	0	0	0	0	5.14526	0.07577	0	1.10035	0	0	0	0	0	0	0	0	0	0	0	0.80624	6.11921	4.19502	3.91854	3.86234	0	0	3.25533	1.40454	0	3.05911	0	3.74618	9.81302	4.95079	4.44873	13.54901	8.9322	12.40381	2.63911	14.26559	2.98244
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	2|200795|189775	0	0	0	0	0	0	0	0	2.03071	0	0	0	0	2.77041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50985	3.17828	2.60651	0	0	4.86599	4.49609	0	3.20438	0	0	0	4.75891	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales	2|200795|189775|85001	0	0	0	0	0	0	0	0	2.03071	0	0	0	0	2.77041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50985	3.17828	2.60651	0	0	4.86599	4.49609	0	3.20438	0	0	0	4.75891	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae	2|200795|189775|85001|85002	0	0	0	0	0	0	0	0	2.03071	0	0	0	0	2.77041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50985	3.17828	2.60651	0	0	4.86599	4.49609	0	3.20438	0	0	0	4.75891	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Nitrolancea	2|200795|189775|85001|85002|1206748	0	0	0	0	0	0	0	0	2.03071	0	0	0	0	2.77041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50985	3.17828	2.60651	0	0	4.86599	4.49609	0	3.20438	0	0	0	4.75891	0	0	0	0	0	0	0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Nitrolancea|s__Nitrolancea_hollandica	2|200795|189775|85001|85002|1206748|1206749	0	0	0	0	0	0	0	0	2.03071	0	0	0	0	2.77041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50985	3.17828	2.60651	0	0	4.86599	4.49609	0	3.20438	0	0	0	4.75891	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes	2|1239	14.36838	22.40604	22.79681	24.67316	21.2101	22.38235	25.4925	18.50024	24.14049	28.23403	33.71449	0	88.09591	27.5078	95.28786	83.08779	21.69852	0	0	0	0	48.90281	0.37364	0	0	0	0	0	2.06512	7.07298	5.38611	8.03706	10.58465	0	0	9.25712	5.74886	0	6.16853	0	26.46792	19.27125	34.09643	22.22732	17.17834	24.323	15.52031	6.98837	16.03766	16.74795
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	4.03292	5.22598	3.6146	16.43809	7.66441	13.25688	8.9174	11.285	8.71989	6.40249	0	0	86.64334	20.79054	95.28786	81.47199	20.30102	0	0	0	0	48.90281	0.37364	0	0	0	0	0	0	1.12578	2.64086	2.25391	3.83832	0	0	4.82559	1.52332	0	1.80391	0	11.61731	5.78029	10.02204	7.85971	3.28014	8.67137	0	0	2.52446	2.99023
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	4.03292	5.22598	3.6146	16.43809	7.66441	13.25688	8.9174	11.285	8.71989	6.40249	0	0	86.64334	20.79054	95.28786	81.47199	20.30102	0	0	0	0	48.90281	0.37364	0	0	0	0	0	0	1.12578	2.64086	2.25391	3.83832	0	0	4.82559	1.52332	0	1.80391	0	11.61731	5.78029	10.02204	7.85971	3.28014	8.67137	0	0	2.52446	2.99023
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae	2|1239|91061|1385|186823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae|g__Alicyclobacillus	2|1239|91061|1385|186823|29330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae|g__Alicyclobacillus|s__Alicyclobacillus_macrosporangiidus	2|1239|91061|1385|186823|29330|392015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	4.03292	5.22598	3.6146	16.43809	7.66441	13.25688	8.9174	11.285	8.71989	6.40249	0	0	86.64334	20.79054	88.16815	54.68166	20.30102	0	0	0	0	48.90281	0.37364	0	0	0	0	0	0	1.12578	2.64086	2.16519	3.83832	0	0	4.82559	1.52332	0	1.80391	0	11.61731	5.78029	10.02204	7.85971	3.28014	8.67137	0	0	2.52446	2.99023
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus	2|1239|91061|1385|186817|1386	0	0	0	0	0	0	0	0	0	0	0	0	51.22905	15.96775	88.16815	31.64387	2.28217	0	0	0	0	48.90281	0.37364	0	0	0	0	0	0	1.12578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_asahii	2|1239|91061|1385|186817|1386|228899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_butanolivorans	2|1239|91061|1385|186817|1386|421767	0	0	0	0	0	0	0	0	0	0	0	0	1.20036	0	0	0	0.38846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_oceanisediminis	2|1239|91061|1385|186817|1386|665099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.43205	26.89469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_simplex	2|1239|91061|1385|186817|1386|1478	0	0	0	0	0	0	0	0	0	0	0	0	50.02869	12.57483	3.1431	4.74918	1.89371	0	0	0	0	47.35197	0.37364	0	0	0	0	0	0	1.12578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_7884_1	2|1239|91061|1385|186817|1386|2021693	0	0	0	0	0	0	0	0	0	0	0	0	0	3.39291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_sp_HMSC76G11	2|1239|91061|1385|186817|1386|1608910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Fictibacillus	2|1239|91061|1385|186817|1329200	0	0	0	0	0	0	0	0	0	0	0	0	34.7973	0	0	23.03779	16.93502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Fictibacillus|s__Fictibacillus_arsenicus	2|1239|91061|1385|186817|1329200|255247	0	0	0	0	0	0	0	0	0	0	0	0	34.7973	0	0	21.19315	16.93502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Fictibacillus|s__Fictibacillus_phosphorivorans	2|1239|91061|1385|186817|1329200|1221500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Hydrogenibacillus	2|1239|91061|1385|186817|1609627	4.03292	5.22598	3.6146	16.43809	7.66441	13.25688	8.9174	11.285	8.71989	6.40249	0	0	0.61698	1.87698	0	0	1.08383	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64086	2.16519	3.83832	0	0	4.82559	1.52332	0	1.80391	0	11.61731	5.78029	10.02204	7.85971	3.28014	8.67137	0	0	2.52446	2.99023
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Hydrogenibacillus|s__Hydrogenibacillus_schlegelii	2|1239|91061|1385|186817|1609627|1484	4.03292	5.22598	3.6146	16.43809	7.66441	13.25688	8.9174	11.285	8.71989	6.40249	0	0	0.61698	1.87698	0	0	1.08383	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64086	2.16519	3.83832	0	0	4.82559	1.52332	0	1.80391	0	11.61731	5.78029	10.02204	7.85971	3.28014	8.67137	0	0	2.52446	2.99023
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus	2|1239|91061|1385|186817|400634	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Lysinibacillus|s__Lysinibacillus_xylanilyticus	2|1239|91061|1385|186817|400634|582475	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Psychrobacillus	2|1239|91061|1385|186817|1221880	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Psychrobacillus|s__Psychrobacillus_sp_OK028	2|1239|91061|1385|186817|1221880|1884359	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae	2|1239|91061|1385|186822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.07425	26.79034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus	2|1239|91061|1385|186822|44249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.07425	26.79034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_lautus	2|1239|91061|1385|186822|44249|1401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59951	1.21144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_GM2FR	2|1239|91061|1385|186822|44249|2059268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.47474	25.5789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae	2|1239|91061|1385|186818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Paenisporosarcina	2|1239|91061|1385|186818|651660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Paenisporosarcina|s__Paenisporosarcina_sp_OV554	2|1239|91061|1385|186818|651660|2135694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
