#Datasets	SIG040.A0101.unmapped	FUT024.B0101.unmapped	NMU129.A0101.unmapped	NMU118.A0101.unmapped	HCLVMBCX2-3505-09-00-01_S9.unmapped	NMU119.A0101.unmapped	PAH002.A0101.unmapped	SIG041.A0101.unmapped	TON001.C0101.unmapped	NMU131.A0101.unmapped	NMU128.A0101.unmapped	AKI002.A0101.unmapped	TAP001.B0101.unmapped	PAH003.A0101.unmapped	HCLVMBCX2-3505-10-00-01_S10.unmapped	HCLVMBCX2-3505-15-00-01_S15.unmapped	HCLVMBCX2-3505-22-00-01_S22.unmapped	SIG038.A0101.unmapped	SIG042.A0101.unmapped	SIG039.A0101.unmapped	HCLVMBCX2-3505-27-00-01_S27.unmapped	AKI001.A0101.unmapped	HCLVMBCX2-3505-19-00-01_S19.unmapped	TON007.B0101.unmapped	NMU127.A0101.unmapped	HCLVMBCX2-3505-24-00-01_S24.unmapped	SIG032.A0101.unmapped	ANN001.A0101.unmapped	NMU116.A0101.unmapped	HCLVMBCX2-3505-21-00-01_S21.unmapped	NMU117.A0101.unmapped	HCLVMBCX2-3505-28-00-01_S28.unmapped	HCLVMBCX2-3505-33-00-01_S33.unmapped	NMU126.A0101.unmapped	SIG031.A0101.unmapped	AMH004.A0101.unmapped	RAP002.A0101.unmapped	HCLVMBCX2-3505-16-00-01_S16.unmapped	HCLVMBCX2-3505-13-00-01_S13.unmapped	HCLVMBCX2-3505-25-00-01_S25.unmapped	NMU124.A0101.unmapped	RAP001.A0101.unmapped	EFE002.B0101.unmapped	SIG034.A0101.unmapped	FUT018.B0101.unmapped	AMH003.A0101.unmapped	HCLVMBCX2-3505-18-00-01_S18.unmapped	HCLVMBCX2-3505-20-00-01_S20.unmapped	HCLVMBCX2-3505-32-00-01_S32.unmapped	PAH001.A0102.unmapped	SIG046.A0101.unmapped	AON001.A0101.unmapped	SIG035.A0101.unmapped	TON005.B0101.unmapped	ANN003.A0101.unmapped	NMU125.A0101.unmapped	SIG033.A0101.unmapped	AMH002.A0101.unmapped	NMU123.A0101.unmapped	ANN002.A0101.unmapped	HCLVMBCX2-3505-17-00-01_S17.unmapped	HCLVMBCX2-3505-29-00-01_S29.unmapped	SIG040.A0201.unmapped	NMU115.A0101.unmapped	HCLVMBCX2-3505-12-00-01_S12.unmapped	SIG047.A0101.unmapped	TON006.B0101.unmapped	EFE003.B0101.unmapped	SIG037.A0101.unmapped	EFE005.B0101.unmapped	AMH001.A0101.unmapped	ATT002.A0101.unmapped	AHK001.A0101.unmapped	SIG043.A0101.unmapped	SIG046.A0201.unmapped	HCLVMBCX2-3505-31-00-01_S31.unmapped	NMU122.A0101.unmapped	ATT001.A0101.unmapped	HCLVMBCX2-3505-26-00-01_S26.unmapped	FUT021.B0101.unmapped	EFE004.B0101.unmapped	HCLVMBCX2-3505-14-00-01_S14.unmapped	HCLVMBCX2-3505-03-00-01_S3.unmapped	NMU120.A0101.unmapped	SIG044.A0101.unmapped	HCLVMBCX2-3505-02-00-01_S2.unmapped	HCLVMBCX2-3505-01-00-01_S1.unmapped	ANK001.A0101.unmapped	EFE006.B0101.unmapped	TON003.B0101.unmapped	HCLVMBCX2-3505-08-00-01_S8.unmapped	HCLVMBCX2-3505-07-00-01_S7.unmapped	HCLVMBCX2-3505-11-00-01_S11.unmapped	TON004.B0101.unmapped	NMU121.A0101.unmapped	SIG045.A0101.unmapped	ANN004.A0101.unmapped	HCLVMBCX2-3505-06-00-01_S6.unmapped	NMU130.A0101.unmapped	HCLVMBCX2-3505-05-00-01_S5.unmapped	AON002.A0101.unmapped	SIG036.A0101.unmapped	TAP003.B0101.unmapped	HCLVMBCX2-3505-04-00-01_S4.unmapped	HCLVMBCX2-3505-23-00-01_S23.unmapped
Pelagibaca abyssi	106	0	0	0	0	0	0	174	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0
Phaeobacter gallaeciensis	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0
Rhodobacter capsulatus	67	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodobacter sphaeroides	489	245	0	0	0	0	0	685	344	435	0	0	0	0	0	0	0	152	178	165	121	243	196	0	0	138	0	0	248	0	0	0	0	0	0	0	0	0	0	212	0	0	0	369	655	0	0	201	105	0	0	0	0	0	0	0	0	0	0	0	0	145	558	0	0	0	0	0	307	0	0	0	461	0	310	118	0	0	0	0	0	0	0	0	260	0	0	213	0	0	499	0	0	0	0	0	0	0	0	0	0	463	0	163	201
Rhodobacter sp. LPB0142	108	0	0	0	0	0	0	114	0	133	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	83	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0
Rhodovulum sulfidophilum	103	0	0	0	0	0	0	176	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	140	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0
Rhodovulum sp. MB263	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0
Rhodovulum sp. P5	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	88	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0
Roseibacterium elongatum	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0
Roseobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseovarius mucosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruegeria pomeroyi	69	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0
Ruegeria sp. TM1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salipiger profundus	175	0	0	0	0	0	0	213	0	130	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	155	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	115	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0
Stappia sp. ES.058	197	0	0	0	0	0	0	277	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	121	0	0	0	90	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0
Sulfitobacter sp. AM1-D1	65	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tateyamaria omphalii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thioclava nitratireducens	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodobacteraceae bacterium	79	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0
Yangia sp. CCB-MM3	95	0	0	0	0	0	0	131	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0
Acetobacter pasteurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0
Acidiphilium cryptum	98	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium multivorum	97	0	0	0	0	0	0	131	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0
Gluconacetobacter diazotrophicus	106	0	0	0	0	0	0	179	0	96	0	0	0	0	0	0	0	0	0	51	0	244	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0
Gluconobacter oxydans	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulibacter bethesdensis	137	0	0	0	0	0	0	151	0	79	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0
Komagataeibacter nataicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neoasaia chiangmaiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseomonas gilardii	414	255	0	0	0	0	0	615	241	272	0	0	0	0	0	0	0	100	160	118	0	480	0	0	0	0	0	0	167	0	0	0	20	0	0	0	0	0	0	350	0	0	0	284	494	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	0	193	0	0	0	102	0	276	125	0	0	0	0	0	0	0	0	175	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	461	0	142	123
Azospirillum brasilense	1808	344	0	0	0	0	0	2532	1194	901	0	0	0	245	0	0	0	396	535	308	148	467	280	0	0	126	0	0	577	0	0	0	50	0	0	0	0	0	0	0	0	0	0	1078	2509	249	339	0	276	183	0	0	614	1654	0	0	0	0	0	0	0	134	2133	0	0	365	0	0	797	0	0	0	272	0	688	185	0	374	0	313	0	0	0	0	617	197	0	610	0	398	513	0	0	0	0	0	0	0	0	0	263	1826	0	441	0
Azospirillum humicireducens	204	0	0	0	0	0	0	252	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0
Azospirillum lipoferum	988	0	0	0	0	0	0	1436	730	496	0	0	0	0	0	0	0	186	258	227	0	346	0	0	0	144	0	0	285	0	0	0	23	0	0	0	0	0	0	145	0	0	0	571	1408	0	310	0	252	0	0	0	313	1031	0	0	0	0	0	0	0	0	1274	0	0	0	0	0	428	0	0	0	158	0	445	271	0	0	0	0	0	0	0	0	332	0	0	341	0	0	322	0	0	0	0	0	0	0	0	0	0	1010	0	242	139
Azospirillum thiophilum	583	0	0	0	0	0	0	813	371	264	0	0	0	0	0	0	0	101	147	108	0	182	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	822	0	0	0	157	0	0	0	0	580	0	0	0	0	0	0	0	0	793	0	0	0	0	0	254	0	0	0	107	0	275	0	0	0	0	0	0	0	0	0	183	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	616	0	137	0
Magnetospira sp. QH-2	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnetospirillum gryphiswaldense	189	0	0	0	0	0	0	253	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0
Magnetospirillum magneticum	267	0	0	0	0	0	0	384	0	128	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0
Magnetospirillum sp. ME-1	286	0	0	0	0	0	0	401	204	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0
Magnetospirillum sp. XM-1	321	0	0	0	0	0	0	402	0	128	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0
Nitrospirillum amazonense	590	0	0	0	0	0	0	670	390	263	0	0	0	0	0	0	0	122	166	88	0	0	0	0	0	174	0	0	163	0	0	0	0	0	0	0	0	0	0	101	0	0	0	311	710	0	0	0	205	0	0	0	0	520	0	0	0	0	0	0	0	85	645	0	0	0	0	0	222	0	0	0	90	0	266	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	0	0	196
Pararhodospirillum photometricum	96	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0
Rhodospirillum centenum	783	0	0	0	0	0	0	1021	480	341	0	0	0	0	0	0	0	152	217	118	0	226	0	0	0	160	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	1185	0	0	0	93	0	0	0	0	695	0	0	0	0	0	0	0	0	1073	0	0	0	0	0	275	0	0	0	94	0	327	126	0	0	0	0	0	0	0	0	249	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	706	0	171	142
Rhodospirillum rubrum	250	0	0	0	0	0	0	311	203	138	0	0	0	0	0	0	0	56	0	74	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	135
Thalassospira xiamenensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tistrella mobilis	485	0	0	0	0	0	0	643	310	289	0	0	0	0	0	0	0	75	0	106	0	0	173	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	730	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	605	0	0	0	0	0	242	0	0	0	89	0	0	113	0	0	0	0	0	0	0	0	180	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	518	0	142	0
Anaplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rickettsia felis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Altererythrobacter dongtanensis	97	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	114	0	184	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	88	0	0	0	0	0	0	555	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0
Altererythrobacter epoxidivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126
Altererythrobacter marensis	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134
Croceicoccus marinus	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0
Croceicoccus naphthovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erythrobacter flavus	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erythrobacter litoralis	140	0	0	0	0	0	0	121	0	101	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	198
Erythrobacter sp. HL-111	98	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	117
